kode pengungsian,alamat lengkap,latitude,longitude,kapasitas (jiwa)
JPM84,"Jl. Palmerah Barat II No.30, RT.1/RW.14, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",-6.2073638,106.7902249,1900
JPM85,"Jl. Sakti IV No.8 8, RT.8/RW.9, Kemanggisan, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",-6.187385,106.7850826,600
JPM86,"Jl. Komp. Dpr, RT.3/RW.13, Kemanggisan, RT.3/RW.13, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11550",-6.1962517,106.7839346,2400
JPM87,"Jl. Kota Bambu Selatan No.1, RT.1/RW.9, Kota Bambu Sel., Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420",-6.1859634,106.8000923,2400
JPM88,"Jl. Kyai H. Syahdan No.18C 2, RT.2/RW.11, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",-6.2007453,106.785549,2700
JPM89,"Jl. O No.23, RT.7/RW.7, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",-6.1962038,106.8018816,1000
JPM90,"Jl. Kemanggisan Pulo 1 Gg. Bb No.36 1, RT.1/RW.3, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",-6.203572,106.7915474,2800
JPM91,"Jl. K.S. Tubun No.29, RT.1/RW.2, Petamburan, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10260",-6.189237,106.8070422,2000
JPM92,"Komplek Kemhan/MABES TNI, Jl. Garuda No.66, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",-6.1977347,106.7928768,1400
JPM93,"F-4 Slipi, Jl. Anggrek Rosliana No.5, RT.5/RW.2, Kemanggisan, Palmerah, West Jakarta City, Jakarta 11480",-6.1912586,106.7945166,1700
JPM94,"Jl. Kemanggisan Pulo No.18 2, RT.2/RW.17, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",-6.1985493,106.7918402,600
JPM95,"Jl. Slipi I No.15A 7, RT.7/RW.2, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",-6.1907626,106.8012054,2200
JPM96,"Jl. Tomang Asli No.31 7, RT.7/RW.3, Jatipulo, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11430",-6.1779022,106.8045116,2300
JPM97,"RT.002/RW.013 Kemanggisan, RT.5/RW.12, batusari, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",-6.197978,106.7825625,1200
JPM98,"Jl. H.Rausin No.118, RT.2/RW.1, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",-6.1955708,106.7914113,2200
JPM99,"Jl. Kota Bambu Sel. 7 No.1 9, RT.9/RW.4, Kota Bambu Sel., Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420",-6.1861422,106.805146,1400
JPM100,"RQ8W+P5H, Jl. Anggrek Neli Murni VII, RT.3/RW.1, Kemanggisan, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",-6.1831753,106.7954692,900
JPM101,"24, Jl. Slipi V No.44, RT.12/RW.5, Slipi, Kec. Palmerah, Daerah Khusus Ibukota Jakarta 11410",-6.19762,106.800489,1500
JPM102,"Jl. Letjen S. Parman No.80 4, RT.4/RW.9, Kota Bambu Sel., Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",-6.1888875,106.7982865,500
JPM103,"Jl. Kota Bambu Utara I No.3 10, RT.10/RW.8, Jatipulo, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11430",-6.1820748,106.808087,1200
JPM104,"Jl. Bhakti VII No.15 2, RT.2/RW.9, Kemanggisan, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",-6.1922272,106.7836409,2800
JPM105,"Jl. Setia Budi Timur No.21 5, RT.5/RW.1, Kuningan, Setia Budi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12910",-6.20844,106.828,2500
JPM106,"Setiabudi One, Jl. H. R. Rasuna Said No.62 18, RT.18/RW.2, Kuningan, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920",-6.21449,106.8302,1400
JPM107,"Jl. Setia Budi, RT.10/RW.7, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920",-6.21141,106.829,3000
JPM108,"Jl. Karbela Sel. No.1, RT.5/RW.4, Kuningan, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920",-6.21539,106.8262,1700
JPM109,"Jl. Yayasan RPI No.8, RT.8/RW.4, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950",-6.22818,106.8343,1300
JPM110,"Jl. Setia Budi III No.16 1, RT.2/RW.3, Kuningan, Setia Budi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12910",-6.20797,106.8257,1200
JPM111,"Jl. Peltu Rahmat Sidup No.28 3, RT.3/RW.3, Kuningan, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950",-6.23095,106.8214,2700
JPM112,"Jl. Taman Tangkuban Perahu No.8 2, RT.8/RW.2, Guntur, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12980",-6.20735,106.8346,1300
